init_x,init_y,final_x,final_y,time_delay,true_H0
-0.760383,0.236196,0.378929,-0.104868,224.860645,70.000000
-0.257009,0.444428,-0.032311,0.001977,312.842828,70.000000
-0.501291,0.809738,-0.058556,-0.130452,155.126322,70.000000
-0.732576,-0.402710,0.462306,-0.304621,190.414167,70.000000
-0.340392,-0.969467,-0.803500,-0.716593,147.373895,70.000000
0.175878,-0.025371,0.074253,0.000055,366.733965,70.000000
-0.418297,-0.315565,0.193745,-0.023285,288.720116,70.000000
0.295978,0.495125,-0.079585,-0.064243,278.355392,70.000000
-0.433998,-0.197555,-0.230114,0.022470,295.573436,70.000000
-0.305282,-0.866327,-0.243487,0.053365,151.302551,70.000000
-0.360766,0.613464,0.121654,-0.064004,213.018859,70.000000
0.488845,0.021074,-0.210257,0.011112,303.909355,70.000000
0.183726,-0.115393,0.053393,0.000554,365.698929,70.000000
0.598078,-0.098731,0.167777,0.046456,291.407996,70.000000
0.628889,-0.266946,0.224216,-0.029460,246.637899,70.000000
-0.566316,-0.079069,0.180506,-0.042976,293.059462,70.000000
-0.918400,0.446445,0.392040,0.022230,169.345885,70.000000
-0.603329,-0.145367,-0.157411,0.026908,292.526671,70.000000
0.819181,-0.018816,-0.576809,-0.000914,216.474432,70.000000
-0.243351,0.006317,0.102335,0.000105,366.615378,70.000000
0.169857,0.779564,-0.205893,-0.289801,145.265949,70.000000
0.139483,0.289979,0.065540,0.004591,336.184682,70.000000
-0.330894,0.656644,0.186526,-0.085359,274.475935,70.000000
0.221352,0.256167,-0.051295,0.012973,351.499105,70.000000
-0.598495,-0.903944,0.389708,0.004348,136.402121,70.000000
-0.590981,-0.617509,0.628423,-0.379533,168.850795,70.000000
-0.473823,0.462326,0.372271,0.128278,220.741087,70.000000
0.310596,0.195019,-0.071087,-0.007715,349.972862,70.000000
-0.317548,0.969059,0.985283,0.654293,138.410324,70.000000
0.973404,0.000974,-0.114723,-0.000345,205.593519,70.000000
0.366777,0.426388,-0.161991,0.134476,191.046081,70.000000
0.295961,0.208633,-0.115196,-0.019880,345.826777,70.000000
0.493730,0.114021,-0.117511,-0.017142,304.602365,70.000000
0.347989,0.656180,0.283664,0.099746,198.300633,70.000000
0.419260,0.498243,-0.214198,-0.031502,244.138975,70.000000
-0.032980,-0.303158,0.033480,0.022866,328.952036,70.000000
0.815577,-0.592441,0.544682,-0.497162,156.959221,70.000000
0.842362,-0.416191,-0.358907,-0.014687,183.737593,70.000000
-0.917789,0.716441,-0.855525,0.647592,139.899090,70.000000
-0.771594,-0.173423,-0.135797,0.006849,288.476014,70.000000
-0.718205,-0.866867,0.700334,-0.755273,135.341462,70.000000
0.569725,-0.636948,-0.581694,-0.292569,168.764014,70.000000
0.817273,-0.097805,0.282166,-0.123690,216.686396,70.000000
0.198323,-0.778877,-0.327907,-0.349015,178.340069,70.000000
-0.584976,0.312773,0.364519,-0.022414,236.399053,70.000000
0.781949,0.217522,0.303089,0.088148,236.897358,70.000000
-0.113795,-0.547677,-0.020938,0.041976,270.354875,70.000000
-0.800089,0.901881,-0.807050,0.845142,130.634237,70.000000
-0.084484,0.082589,0.001577,-0.000001,337.833732,70.000000
0.066937,-0.984925,0.550576,1.101117,111.555430,70.000000
0.363929,0.547791,-0.193379,-0.124998,221.563472,70.000000
0.723216,-0.910427,0.401061,-0.047932,131.629848,70.000000
0.446675,-0.737572,0.375026,-0.315972,172.262467,70.000000
-0.370291,0.512026,-0.010212,0.029577,301.517712,70.000000
-0.372654,0.805897,0.155450,0.118177,210.344535,70.000000
0.706812,-0.612410,-0.535852,-0.333189,160.893002,70.000000
-0.782186,-0.193818,0.295617,-0.266274,217.395099,70.000000
0.499000,0.685261,0.026045,-0.096386,170.759931,70.000000
-0.820536,-0.755590,-0.740810,-0.613487,139.905903,70.000000
0.804441,0.241519,0.273354,-0.019689,232.332772,70.000000
-0.790448,0.935790,-0.628267,0.555990,130.428641,70.000000
-0.175412,-0.147289,0.034293,-0.000125,362.709479,70.000000
0.517126,-0.667180,-0.446283,-0.244369,169.030958,70.000000
0.708562,0.805425,0.573321,0.494039,140.037719,70.000000
0.771265,0.647302,-0.673779,0.614681,152.871534,70.000000
-0.798625,-0.495082,0.518766,-0.394887,168.918178,70.000000
